Quarterbacks ,Team,Opp. ,Points,Salary
"McCown, Josh",cle,@ bal,38.48,5100.00
"Manning, Eli",nyg,v. sfo,32.74,6800.00
"Bortles, Blake",jac,@ tam,32.22,5100.00
"Dalton, Andy",cin,v. sea,31.04,5700.00
"Brady, Tom",nwe,@ dal,25.3,7800.00
"Rivers, Philip",sdg,v. pit,24.6,6200.00
"Flacco, Joe",bal,v. cle,24.6,5600.00
"Hoyer, Brian",hou,v. ind,23.88,5000.00
"Taylor, Tyrod",buf,@ ten,23.36,5800.00
"Bradford, Sam",phi,v. nor,22.62,6000.00
"Brees, Drew",nor,@ phi,21.3,7200.00
"Kaepernick, Colin",sfo,@ nyg,20.78,5200.00
"Cutler, Jay",chi,@ kan,18.58,5300.00
"Rodgers, Aaron",gnb,v. stl,18.54,7900.00
"Palmer, Carson",ari,@ det,18.34,6600.00
"Hasselbeck, Matt",ind,@ hou,16.22,5000.00
"Winston, Jameis",tam,v. jac,15.26,5100.00
"Wilson, Russell",sea,@ cin,13.62,6900.00
"Vick, Michael",pit,@ sdg,13.52,5100.00
"Smith, Alex",kan,v. chi,13.34,5500.00
"Carr, Derek",oak,v. den,11.86,5500.00
"Mariota, Marcus",ten,v. buf,11.18,6000.00
"Cousins, Kirk",was,@ atl,10.86,5300.00
"Orlovsky, Dan",det,v. ari,10.64,5000.00
"Ryan, Matt",atl,v. was,9.16,6700.00
"Stafford, Matthew",det,v. ari,8.72,5400.00
"Manning, Peyton",den,@ oak,8.64,7000.00
"Weeden, Brandon",dal,v. nwe,8.32,5100.00
"Foles, Nick",stl,@ gnb,5.84,5200.00
"Mallett, Ryan",hou,v. ind,1,5000.00
"Stanton, Drew",ari,@ det,0.1,5000.00
"Manuel, E.J.",buf,@ ten,0,5000.00
"McCown, Luke",nor,@ phi,0,5000.00
"Garoppolo, Jimmy",nwe,@ dal,-0.2,5000.00