Running Backs ,Team,Opp. ,Points,Salary
"Freeman, Devonta",atl,@ nor,38.6,7000.00
"Ivory, Chris",nyj,v. was,31.6,5100.00
"Starks, James",gnb,v. sdg,27.7,3300.00
"Murray, DeMarco",phi,v. nyg,24.3,6000.00
"Blount, LeGarrette",nwe,@ ind,23.4,4400.00
"Miller, Lamar",mia,@ ten,22.8,4300.00
"Foster, Arian",hou,@ jac,22.2,7000.00
"Stewart, Jonathan",car,@ sea,21.6,3900.00
"Ingram, Mark",nor,v. atl,20.6,6000.00
"Forte, Matt",chi,@ det,19.9,7100.00
"Hillman, Ronnie",den,@ cle,17.5,4600.00
"McCoy, LeSean",buf,v. cin,17.4,5400.00
"Forsett, Justin",bal,@ sfo,17.1,6400.00
"Bernard, Giovani",cin,@ buf,14.3,4600.00
"Hill, Jeremy",cin,@ buf,13.9,5700.00
"McCluster, Dexter",ten,v. mia,13.2,3000.00
"Lynch, Marshawn",sea,v. car,12.4,6900.00
"Woodhead, Danny",sdg,@ gnb,12.1,4700.00
"Miller, Bruce",sfo,v. bal,11.9,3000.00
"Gore, Frank",ind,v. nwe,11.4,4900.00
"Riddick, Theo",det,v. chi,10.8,3300.00
"Anderson, C.J.",den,@ cle,10.6,4500.00
"Jennings, Rashad",nyg,@ phi,10.3,4300.00
"Oliver, Branden",sdg,@ gnb,10.3,3000.00
"Abdullah, Ameer",det,v. chi,9.9,4000.00
"Thompson, Chris",was,@ nyj,9.8,3300.00
"Langford, Jeremy",chi,@ det,9.7,3000.00
"Bell, Le'Veon",pit,v. ari,8.8,8500.00
"Johnson, Duke",cle,v. den,8.6,4500.00
"Stacy, Zac",nyj,v. was,8.1,3100.00
"Hyde, Carlos",sfo,v. bal,8,4600.00
"Gerhart, Toby",jac,v. hou,7.9,3000.00
"Ellington, Andre",ari,@ pit,7.4,5000.00
"Lewis, Dion",nwe,@ ind,6.9,5800.00
"Robinson, Denard",jac,v. hou,6.8,3000.00
"Spiller, C.J.",nor,v. atl,6.7,3800.00
"Peterson, Adrian",min,v. kan,6.7,7600.00
"Robinson, Khiry",nor,v. atl,6.7,3000.00
"Crowell, Isaiah",cle,v. den,6.1,4200.00
"Mathews, Ryan",phi,v. nyg,5.6,3500.00
"Johnson, Chris",ari,@ pit,5.5,4600.00
"Polk, Chris",hou,@ jac,4.9,3000.00
"Gray, Jonas",mia,@ ten,4.6,3000.00
"Asiata, Matt",min,v. kan,4.5,3000.00
"Whittaker, Fozzy",car,@ sea,4.3,3000.00
"Juszczyk, Kyle",bal,@ sfo,4.2,3500.00
"Morris, Alfred",was,@ nyj,4.2,3600.00
"Kuhn, John",gnb,v. sdg,4,3000.00
"Lacy, Eddie",gnb,v. sdg,4,6300.00
"West, Charcandrick",kan,@ min,3.9,4000.00
"DiMarco, Patrick",atl,@ nor,3.8,3000.00
"Herron, Dan",buf,v. cin,3.7,3600.00
"Andrews, Antonio",ten,v. mia,3.5,3400.00
"Davis, Knile",kan,@ min,3.5,4500.00
"Allen, Javorius",bal,@ sfo,3.1,4300.00
"Sankey, Bishop",ten,v. mia,3,3800.00
"Coleman, Tevin",atl,@ nor,3,4000.00
"Johnson, David",ari,@ pit,2.7,4200.00
"Jackson, Fred",sea,v. car,2.7,3000.00
"Turbin, Robert",cle,v. den,2.7,3000.00
"Sherman, Anthony",kan,@ min,2.3,3000.00
"Gordon, Melvin",sdg,@ gnb,1.9,4600.00
"Young, Darrel",was,@ nyj,1.8,3000.00
"Ward, Terron",atl,@ nor,1.7,3200.00
"Sproles, Darren",phi,v. nyg,1.7,3800.00
"Vereen, Shane",nyg,@ phi,1.6,4200.00
"Zenner, Zach",det,v. chi,1.5,3000.00
"Line, Zach",min,v. kan,1.3,3000.00
"Tolbert, Mike",car,@ sea,1,3000.00
"Johnson, Malcolm",cle,v. den,1,3000.00
"Powell, Bilal",nyj,v. was,0.9,3500.00
"Rawls, Thomas",sea,v. car,0.8,4800.00
"Williams, Andre",nyg,@ phi,0.6,3000.00
"Williams, Damien",mia,@ ten,0.5,3000.00
"McKinnon, Jerick",min,v. kan,0.2,3000.00
"Grant, Corey",jac,v. hou,0.1,3000.00
"Tukuafu, Will",sea,v. car,0,3000.00
"White, James",nwe,@ ind,0,3000.00
"Burton, Michael",det,v. chi,0,3000.00
"Carey, Ka'Deem",chi,@ det,0,3000.00
"Burkhead, Rex",cin,@ buf,0,3000.00
"Darkwa, Orleans",nyg,@ phi,0,3000.00
"Hayne, Jarryd",sfo,v. bal,0,3000.00
"Davis, Mike",sfo,v. bal,0,3000.00
"Johnson, Will",pit,v. ari,0,3000.00
"Todman, Jordan",pit,v. ari,0,3000.00
"Murphy, Marcus",nor,v. atl,0,3000.00
"Barner, Kenjon",phi,v. nyg,0,3000.00
"Taylor, Stepfan",ari,@ pit,0,3000.00
"Bohanon, Tommy",nyj,v. was,0,3000.00
"Bolden, Brandon",nwe,@ ind,0,3000.00
"Nix, Roosevelt",pit,v. ari,0,3000.00
"Johnson, Austin",nor,v. atl,0,3000.00
"Felton, Jerome",buf,v. cin,0,3000.00
"Draughn, Shaun",cle,v. den,0,3000.00
"Tipton, Zurlon",ind,v. nwe,0,3000.00
"Peerman, Cedric",cin,@ buf,0,3000.00
"Fowler, Jalston",ten,v. mia,0,3000.00
"Dixon, Anthony",buf,v. cin,0,3300.00
"Grimes, Jonathan",hou,@ jac,0,3000.00
"Ripkowski, Aaron",gnb,v. sdg,0,3000.00
"Prosch, Jay",hou,@ jac,0,3000.00
"Williams, DeAngelo",pit,v. ari,-0.1,4000.00