Tight Ends ,Team,Opp. ,Points,Salary
"Bennett, Martellus",chi,v. oak,25.3,4500.00
"Fleener, Coby",ind,v. jac,23.3,3200.00
"Clay, Charles",buf,v. nyg,23.1,3300.00
"Barnidge, Gary",cle,@ sdg,19.5,3100.00
"Rodgers, Richard",gnb,@ sfo,15.5,2500.00
"Green, Ladarius",sdg,v. cle,15.3,3200.00
"Fiedorowicz, C.J.",hou,@ atl,10.8,2500.00
"Eifert, Tyler",cin,v. kan,9.9,4600.00
"Witten, Jason",dal,@ nor,9.7,4400.00
"Stoneburner, Jake",mia,v. nyj,9.6,2500.00
"Hill, Josh",nor,v. dal,9.1,2500.00
"Lewis, Marcedes",jac,@ ind,9,2500.00
"Daniels, Owen",den,v. min,8.9,2700.00
"Kelce, Travis",kan,@ cin,8.9,5300.00
"Donnell, Larry",nyg,@ buf,8.8,2900.00
"Dickson, Ed",car,@ tam,8.1,2500.00
"Celek, Brent",phi,@ was,8,2500.00
"Reed, Jordan",was,v. phi,7.7,4500.00
"Phillips, John",sdg,v. cle,7.1,2500.00
"Harbor, Clay",jac,@ ind,7.1,2500.00
"Graham, Jimmy",sea,v. det,6.9,6000.00
"Watson, Ben",nor,v. dal,6,2600.00
"Celek, Garrett",sfo,v. gnb,5.6,2500.00
"Cook, Jared",stl,@ ari,5.2,3000.00
"Olsen, Greg",car,@ tam,4.8,5400.00
"Ebron, Eric",det,@ sea,4.2,3500.00
"Boyle, Nick",bal,@ pit,4.2,2500.00
"Cameron, Jordan",mia,v. nyj,3.9,3400.00
"Carrier, Derek",was,v. phi,3.8,2500.00
"Williams, Maxx",bal,@ pit,3.7,2500.00
"Wright, Tim",det,@ sea,3.6,2500.00
"Willson, Luke",sea,v. det,3.5,2500.00
"Smith, Lee",oak,@ chi,3.4,2500.00
"Rivera, Mychal",oak,@ chi,3.2,2500.00
"Ertz, Zach",phi,@ was,3.1,3200.00
"Rudolph, Kyle",min,@ den,2.7,3200.00
"Fells, Darren",ari,v. stl,2.7,2500.00
"Gragg, Chris",buf,v. nyg,2.5,2500.00
"O'Shaughnessy, James",kan,@ cin,1.8,2500.00
"Myers, Brandon",tam,v. car,1.8,2500.00
"Gresham, Jermaine",ari,v. stl,1.8,2500.00
"McDonald, Vance",sfo,v. gnb,1.7,2500.00
"Hanna, James",dal,@ nor,1.7,2500.00
"Brate, Cameron",tam,v. car,1.7,2500.00
"Graham, Garrett",hou,@ atl,1.6,2500.00
"Harkey, Cory",stl,@ ari,1.4,2500.00
"Gray, Marqueis",buf,v. nyg,1.2,2500.00
"Miller, Heath",pit,v. bal,1.1,3700.00
"Helfet, Cooper",sea,v. det,0,2500.00
"Harris, Clark",cin,v. kan,0,2500.00
"Burton, Trey",phi,@ was,0,2500.00
"Casey, James",den,v. min,0,2500.00
"Backman, Kennard",gnb,@ sfo,0,2500.00
"Doyle, Jack",ind,v. jac,0,2500.00
"Mulligan, Matthew",buf,v. nyg,0,2500.00
"Ellison, Rhett",min,@ den,0,2500.00
"Davis, Kellen",nyj,@ mia,0,2500.00
"Walford, Clive",oak,@ chi,0,2500.00
"Niklas, Troy",ari,v. stl,0,2500.00
"Miller, Zach",chi,v. oak,0,2500.00
"Brockel, Richie",car,@ tam,0,2500.00
"Jacobs, Nic",jac,@ ind,0,2500.00
"Harris, Demetrius",kan,@ cin,0,2500.00
"Escobar, Gavin",dal,@ nor,0,2500.00
"Green, Virgil",den,v. min,0,2500.00
"Kendricks, Lance",stl,@ ari,0,2500.00
"Pruitt, MyCole",min,@ den,0,2500.00
"Kroft, Tyler",cin,v. kan,0,2500.00
"McCoy, Anthony",was,v. phi,0,2500.00
"Bell, Blake",sfo,v. gnb,0,2500.00
"Hewitt, Ryan",cin,v. kan,0,2500.00
"Housler, Rob",cle,@ sdg,0,2500.00
"Toilolo, Levine",atl,v. hou,0,2500.00
"Dray, Jim",cle,@ sdg,0,2500.00
"Johnson, David",sdg,v. cle,0,2500.00