Wide Receivers ,Team,Opp. ,Points,Salary
"Hopkins, DeAndre",hou,@ jac,39.8,7700.00
"Bryant, Martavis",pit,v. ari,35.5,4000.00
"Allen, Keenan",sdg,@ gnb,32.7,7600.00
"Jeffery, Alshon",chi,@ det,31.7,6400.00
"Brown, John",ari,@ pit,31.6,5200.00
"Johnson, Calvin",det,v. chi,31.6,7300.00
"Smith, Steve",bal,@ sfo,29.7,6100.00
"Marshall, Brandon",nyj,v. was,26.1,7100.00
"Moore, Lance",det,v. chi,24.6,3000.00
"Jones, Marvin",cin,@ buf,24.5,3500.00
"Thomas, Demaryius",den,@ cle,24.1,7900.00
"Sanders, Emmanuel",den,@ cle,23.9,7500.00
"Benjamin, Travis",cle,v. den,23.7,5000.00
"Diggs, Stefon",min,v. kan,22.9,3500.00
"Robinson, Allen",jac,v. hou,20.6,5900.00
"Amendola, Danny",nwe,@ ind,20.5,3400.00
"Hilton, T.Y.",ind,v. nwe,19.4,6500.00
"Beckham Jr., Odell",nyg,@ phi,19.1,8900.00
"Moncrief, Donte",ind,v. nwe,18.9,5000.00
"Smith, Torrey",sfo,v. bal,18.6,4200.00
"Boldin, Anquan",sfo,v. bal,18.2,4300.00
"Fitzgerald, Larry",ari,@ pit,17.3,7000.00
"Edelman, Julian",nwe,@ ind,17.2,7600.00
"Walters, Bryan",jac,v. hou,16.7,3000.00
"Cooper, Riley",phi,v. nyg,16.6,3100.00
"Floyd, Michael",ari,@ pit,16,3000.00
"Tate, Golden",det,v. chi,16,5200.00
"Landry, Jarvis",mia,@ ten,15.6,6200.00
"Jones, Julio",atl,@ nor,15.3,9200.00
"Decker, Eric",nyj,v. was,14.9,4900.00
"Watkins, Sammy",buf,v. cin,14.8,5400.00
"Wilson, Albert",kan,@ min,14.7,3000.00
"Floyd, Malcom",sdg,@ gnb,14.5,3400.00
"Matthews, Rishard",mia,@ ten,14.5,4200.00
"Garcon, Pierre",was,@ nyj,13.8,5100.00
"Lockette, Ricardo",sea,v. car,12.3,3000.00
"Patton, Quinton",sfo,v. bal,11.8,3000.00
"White, Roddy",atl,@ nor,11.3,3500.00
"Aiken, Kamar",bal,@ sfo,11.2,4300.00
"Hurns, Allen",jac,v. hou,11,5000.00
"Whalen, Griff",ind,v. nwe,11,3000.00
"Jones, James",gnb,v. sdg,11,5800.00
"Matthews, Jordan",phi,v. nyg,10.9,6200.00
"Inman, Dontrelle",sdg,@ gnb,10.8,3300.00
"Shorts, Cecil",hou,@ jac,10.3,3200.00
"Royal, Eddie",chi,@ det,9.9,3600.00
"Janis, Jeff",gnb,v. sdg,9.9,3000.00
"Snead, Willie",nor,v. atl,9.5,3300.00
"Randle, Rueben",nyg,@ phi,9.4,4400.00
"Austin, Miles",phi,v. nyg,9,3200.00
"Wright, Jarius",min,v. kan,8.9,3000.00
"Green-Beckham, Dorial",ten,v. mia,8.7,3100.00
"Woods, Robert",buf,v. cin,8.7,3000.00
"Hunter, Justin",ten,v. mia,8.4,3000.00
"Cooks, Brandin",nor,v. atl,8.1,5700.00
"Crowder, Jamison",was,@ nyj,8,3600.00
"Maclin, Jeremy",kan,@ min,7.8,6500.00
"Hankerson, Leonard",atl,@ nor,7.7,4200.00
"Green, A.J.",cin,@ buf,7.6,7600.00
"Wright, Kendall",ten,v. mia,7.4,5200.00
"Wilson, Marquess",chi,@ det,7.4,4000.00
"Ross, Jeremy",bal,@ sfo,6.6,3000.00
"Stills, Kenny",mia,@ ten,6.6,3000.00
"Johnson, Andre",ind,v. nwe,6.5,4300.00
"Sanu, Mohamed",cin,@ buf,5.8,3200.00
"Cobb, Randall",gnb,v. sdg,5.8,7300.00
"Brown, Corey",car,@ sea,5.7,3000.00
"Brown, Antonio",pit,v. ari,5.4,8300.00
"Baldwin, Doug",sea,v. car,5.3,4100.00
"Hogan, Chris",buf,v. cin,5.1,3300.00
"Dorsett, Phillip",ind,v. nwe,5,3000.00
"Huff, Josh",phi,v. nyg,4.9,3100.00
"Martin, Keshawn",nwe,@ ind,4.9,3000.00
"Conley, Chris",kan,@ min,4.6,3000.00
"Funchess, Devin",car,@ sea,4.4,3000.00
"Wallace, Mike",min,v. kan,4.3,4500.00
"Cotchery, Jerricho",car,@ sea,4.1,3000.00
"Givens, Chris",bal,@ sfo,3.8,3000.00
"Caldwell, Andre",den,@ cle,3.8,3000.00
"Harris, Dwayne",nyg,@ phi,3.8,3100.00
"Enunwa, Quincy",nyj,v. was,3.7,3000.00
"Hawkins, Andrew",cle,v. den,3.5,3000.00
"Montgomery, Ty",gnb,v. sdg,3.5,3500.00
"Ginn Jr., Ted",car,@ sea,2.8,3400.00
"Mumphery, Keith",hou,@ jac,2.8,3200.00
"Ross, Rashad",was,@ nyj,2.6,3000.00
"Jennings, Greg",mia,@ ten,2.3,3000.00
"Matthews, Chris",sea,v. car,2.2,3000.00
"Douglas, Harry",ten,v. mia,2.1,3000.00
"Williams, Nick",atl,@ nor,2.1,3000.00
"Brown, Marlon",bal,@ sfo,1.9,3000.00
"Wheaton, Markus",pit,v. ari,1.8,3300.00
"Meredith, Cameron",chi,@ det,1.7,3000.00
"Roberts, Andre",was,@ nyj,1.6,3000.00
"Gabriel, Taylor",cle,v. den,1.5,3100.00
"Strong, Jaelen",hou,@ jac,1.5,3000.00
"Avant, Jason",kan,@ min,1.4,3000.00
"Norwood, Jordan",den,@ cle,0.9,3000.00
"Fuller, Corey",det,v. chi,0.5,3000.00
"Thomas, De'Anthony",kan,@ min,0.1,3000.00
"Mariani, Marc",chi,@ det,0,3000.00
"Lockett, Tyler",sea,v. car,0,3200.00
"Heyward-Bey, Darrius",pit,v. ari,0,3500.00
"Fowler, Bennie",den,@ cle,0,3000.00
"Golden, Brittan",ari,@ pit,0,3000.00
"Abbrederis, Jared",gnb,v. sdg,0,3000.00
"Weems, Eric",atl,@ nor,0,3000.00
"Kearse, Jermaine",sea,v. car,0,3600.00
"Patterson, Cordarrelle",min,v. kan,0,3000.00
"Davis, Geremy",nyg,@ phi,0,3000.00
"Ajirotutu, Seyi",phi,v. nyg,0,3000.00
"Daniels, B.J.",sea,v. car,0,3000.00
"Goodwin, Marquise",buf,v. cin,0,3000.00
"Smith, Devin",nyj,v. was,0,3000.00
"Tate, Brandon",cin,@ buf,0,3000.00
"Latimer, Cody",den,@ cle,0,3000.00
"Archer, Dri",pit,v. ari,0,3000.00
"Kerley, Jeremy",nyj,v. was,0,3000.00
"White, Myles",nyg,@ phi,0,3000.00
"Washington, Tony",jac,v. hou,0,3000.00
"Hartline, Brian",cle,v. den,0,3000.00
"Bersin, Brenton",car,@ sea,0,3100.00
"Parker, DeVante",mia,@ ten,0,3000.00
"White, DeAndrew",sfo,v. bal,0,3000.00
"Coates, Sammie",pit,v. ari,0,3000.00
"Slater, Matthew",nwe,@ ind,0,3000.00
"Coleman, Brandon",nor,v. atl,0,3000.00
"Thielen, Adam",min,v. kan,0,3000.00
"Brown, Jaron",ari,@ pit,0,3000.00
"Moore, Denarius",buf,v. cin,0,3000.00
"Bellamy, Josh",chi,@ det,0,3200.00
"Jones, Jacoby",sdg,@ gnb,0,3000.00
"Jones, T.J.",det,v. chi,-1.3,3000.00