AwayKickReturnLong,AwayRushingTouchdowns,AwayPassingYardsPerAttempt,AwayTeam,WindSpeed,AwayKickReturns,AwayRushingYards,HomeTwoPointConversionReturns,HomeBlockedKickReturnTouchdowns,AwayPassingYardsPerCompletion,HomeExtraPointKickingAttempts,GameKey,HomeKickReturnTouchdowns,AwayScoreOvertime,HomeFumbleReturnYards,HomeOffensivePlays,AwayFieldGoalsMade,AwayOffensiveYardsPerPlay,AwayPuntNetYards,HomeFumbles,HomeCompletionPercentage,AwayPuntReturns,AwayFourthDownAttempts,HomeScoreOvertime,HomeThirdDownAttempts,HomePassingYardsPerCompletion,AwayExtraPointKickingAttempts,HomeTimesSackedYards,HomeAssistedTackles,AwayInterceptionReturnYards,AwayScoreQuarter4,AwayPuntReturnTouchdowns,AwayScoreQuarter1,HomeInterceptionReturnYards,AwayScoreQuarter3,AwayScoreQuarter2,HomeExtraPointRushingConversions,AwayAssistedTackles,AwayPunts,StadiumID,AwayTwoPointConversionReturns,AwayGoalToGoConversions,HomeFourthDownPercentage,AwayThirdDownConversions,AwayPuntYards,AwayFirstDownsByPassing,AwayTacklesForLoss,AwayPassesDefended,HomePuntNetAverage,HomeTimesSacked,HomePassesDefended,AwaySafeties,HomePassingYards,AwayInterceptionReturns,AwayFumblesForced,HomeOffensiveYards,HomeFirstDowns,GameID,AwayFourthDownConversions,AwayRushingYardsPerAttempt,AwayCompletionPercentage,AwayPassingCompletions,AwayTouchdowns,HomeRedZoneAttempts,HomePuntNetYards,HomeExtraPointRushingAttempts,HomeFieldGoalReturnTouchdowns,AwaySackYards,AwayFumbleReturnYards,HomeExtraPointPassingAttempts,TotalScore,AwayPasserRating,AwayRedZoneAttempts,AwayPassingYards,HomeSafeties,AwayGoalToGoAttempts,HomeFirstDownsByPenalty,HomeTouchdowns,HomeFirstDownsByRushing,HomeSacks,AwayPuntsHadBlocked,HomePuntYards,HomeFumblesRecovered,HomePassingTouchdowns,AwayExtraPointPassingAttempts,AwayBlockedKickReturnTouchdowns,AwayGiveaways,HomeRushingTouchdowns,HomePuntReturns,HomeFourthDownConversions,HomeTeam,AwayExtraPointKickingConversions,AwayPassingInterceptions,AwayFirstDowns,HomePassingAttempts,AwayRushingAttempts,AwayKickReturnTouchdowns,HomeTurnoverDifferential,HomePuntAverage,AwayQuarterbackHits,HomeKickoffs,AwayReturnYards,HomeScoreQuarter1,HomeScoreQuarter2,HomeScoreQuarter3,HomeScoreQuarter4,Temperature,HomeTakeaways,AwayExtraPointPassingConversions,HomeFirstDownsByPassing,OverUnder,HomePassingYardsPerAttempt,AwayFirstDownsByPenalty,Stadium,HomeQuarterbackHits,SeasonType,Week,AwayTakeaways,HomeGoalToGoConversions,HomeFumbleReturnTouchdowns,HomeSackYards,HomePuntReturnTouchdowns,HomePassingInterceptions,AwayPassingTouchdowns,HomeFumblesForced,AwayExtraPointsHadBlocked,HomeFourthDownAttempts,Date,AwayPuntReturnLong,HomePunts,HomeGoalToGoAttempts,AwayPassingAttempts,HomeGiveaways,HomeKickoffTouchbacks,AwayFumbleReturnTouchdowns,HomeKickReturnYards,HomeRushingYards,AwayTimesSacked,HomeKickReturns,AwayTimeOfPossession,AwayKickoffs,AwayPenalties,HomeBlockedKicks,StadiumDetails,AwayThirdDownPercentage,AwayFumbles,HomePuntReturnLong,AwayPuntNetAverage,AwayFieldGoalReturnYards,AwayExtraPointRushingConversions,AwayTurnoverDifferential,HomeScore,AwayPuntReturnYards,AwayFirstDownsByRushing,AwayPenaltyYards,AwayFieldGoalAttempts,HomeRushingYardsPerAttempt,HomeKickoffsInEndZone,HomeOffensiveYardsPerPlay,AwayThirdDownAttempts,AwayFumblesRecovered,AwayFumblesLost,AwayOffensivePlays,AwayBlockedKicks,HomeThirdDownConversions,AwayOffensiveYards,AwayBlockedKickReturnYards,PointSpread,AwaySoloTackles,AwayPuntAverage,HomeTimeOfPossession,PlayingSurface,HomeThirdDownPercentage,HomeBlockedKickReturnYards,HomeInterceptionReturns,AwayKickoffTouchbacks,HomeExtraPointPassingConversions,HomeExtraPointKickingConversions,AwaySacks,HomeFieldGoalReturnYards,AwayTimesSackedYards,HomeKickReturnLong,AwayFourthDownPercentage,HomeInterceptionReturnTouchdowns,HomeFieldGoalAttempts,HomeRedZoneConversions,HomePuntsHadBlocked,HomeSoloTackles,AwayExtraPointRushingAttempts,HomeTacklesForLoss,Humidity,AwayInterceptionReturnTouchdowns,HomePenaltyYards,HomeFumblesLost,HomeReturnYards,AwayRedZoneConversions,AwayKickoffsInEndZone,AwayKickReturnYards,HomeExtraPointsHadBlocked,AwayFieldGoalsHadBlocked,AwayFieldGoalReturnTouchdowns,HomePenalties,HomePasserRating,AwayScore,HomePuntReturnYards,HomeRushingAttempts,IsGameOver,Season,HomeFieldGoalsMade,HomePassingCompletions,HomeFieldGoalsHadBlocked
33,1,6.3,GB,13,4,95,0,0,9.1,4,201410130,0,0,0,78,1,5.4,178,2,81.0,0,1,0,13,12.0,1,0,27,0,6,0,7,25,0,3,0,29,4,31,0,2,119.3,7,182,15,1,3,39.4,1,4,0,227,0,1,474,29,63200,0,4.5,83.2,27,2,5,78,0,0,0,0,0,52,95.1,3,208,1,3,4,4,15,3,0,78,0,2,1,0,1,2,2,1,SEA,1,1,22,33,25,0,0,39.4,1,8,0,3,14,5,14,84,1,0,9,47.0,8.1,2,CenturyLink Field,4,1,1,1,2,0,16,0,0,1,1,0,1,2014-09-04T20:30:00,0,2,3,39,1,3,0,71,246,3,3,26:40,5,9,0,"{u'City': u'Seattle', u'StadiumID': 31, u'Capacity': 67000, u'Name': u'CenturyLink Field', u'PlayingSurface': u'Artificial', u'Country': u'USA', u'GeoLong': -122.331625, u'State': u'WA', u'GeoLat': 47.595153}",59.6,1,3,44.7,0,0,0,36,0,4,77,1,6.7,8,7.2,14,1,0,68,0,4,304,0,-4.5,45,45.6,33:20,Artificial,43.4,0,1,2,0,4,1,0,16,36,0.0,0,2,3,0,42,0,5,62,0,82,1,28,2,4,106,0,0,0,4,132.3,16,3,44,True,2014,2,22,0
40,3,9.4,NO,0,1,165,0,0,13.7,4,201410102,0,0,0,82,2,8.0,119,1,86.0,0,0,3,13,17.2,4,3,33,0,14,0,6,0,0,14,0,7,2,25,0,4,0.0,9,120,20,1,2,54.5,1,4,0,530,0,1,677,33,63207,0,6.0,82.3,34,4,3,163,0,0,3,0,0,71,108.2,7,397,0,4,1,4,7,0,0,187,1,3,0,0,2,1,1,0,ATL,4,1,35,51,33,0,1,62.4,3,7,0,0,10,14,10,83,2,0,25,51.0,12.3,4,Georgia Dome,0,1,1,1,2,0,0,0,0,1,1,0,0,2014-09-07T13:00:00,0,3,2,50,1,5,0,25,146,0,1,30:25,8,3,0,"{u'City': u'Atlanta', u'StadiumID': 25, u'Capacity': 74228, u'Name': u'Georgia Dome', u'PlayingSurface': u'Dome', u'Country': u'USA', u'GeoLong': -84.400972, u'State': u'GA', u'GeoLat': 33.757614}",73.4,1,1,59.6,0,0,0,37,0,10,32,2,5.8,7,9.8,15,1,1,83,0,7,563,0,3.0,58,60.2,31:18,Dome,65.0,0,1,7,0,4,1,0,0,25,0.0,0,3,3,0,46,0,1,59,0,114,1,1,4,8,40,0,0,0,11,153.3,34,1,29,True,2014,3,36,0
0,0,9.4,CIN,9,0,94,0,0,14.3,1,201410103,0,0,0,101,5,7.0,177,2,67.4,1,0,0,20,11.2,0,19,38,1,8,0,6,0,0,9,0,26,4,7,0,0,59.6,4,180,13,4,9,37.0,3,7,0,392,1,1,501,31,63202,0,3.6,78.5,29,1,3,147,1,0,19,0,0,39,117.7,2,359,0,1,2,2,9,0,0,201,0,1,1,0,0,1,2,1,BAL,0,0,19,73,31,0,0,50.3,8,4,54,0,0,7,9,88,0,1,19,43.5,6.3,1,M&T Bank Stadium,0,1,1,2,0,0,0,0,1,1,0,0,2,2014-09-07T13:00:00,53,4,0,45,2,4,0,130,108,0,4,30:30,8,4,1,"{u'City': u'Baltimore', u'StadiumID': 7, u'Capacity': 71008, u'Name': u'M&T Bank Stadium', u'PlayingSurface': u'Artificial', u'Country': u'USA', u'GeoLong': -76.622788, u'State': u'MD', u'GeoLat': 39.277985}",34.1,0,2,44.4,0,0,2,16,53,4,53,7,5.5,4,5.8,16,1,0,76,0,9,453,0,-1.0,52,45.1,29:30,Artificial,56.2,0,0,3,0,1,3,0,0,56,0.0,0,2,1,0,38,0,1,53,0,34,1,2,0,8,0,0,1,0,3,83.4,23,2,23,True,2014,1,41,0
34,1,9.1,BUF,3,2,230,0,0,12.4,2,201410106,0,3,0,82,3,7.6,257,1,82.8,2,0,0,14,11.9,2,9,11,56,3,0,7,5,0,10,0,16,5,20,0,2,0.0,4,256,9,3,5,43.5,2,1,0,406,2,1,509,34,63208,0,6.9,86.7,19,2,3,174,0,0,9,35,0,43,108.0,4,199,0,3,5,2,5,1,0,190,0,2,0,0,1,0,1,0,CHI,2,1,17,58,39,0,0,47.7,3,5,108,7,0,10,3,88,1,0,22,47.0,8.4,0,Soldier Field,2,1,1,3,0,0,7,0,2,1,0,0,0,2014-09-07T13:00:00,16,4,0,26,3,3,0,25,102,1,1,30:32,7,10,0,"{u'City': u'Chicago', u'StadiumID': 20, u'Capacity': 61500, u'Name': u'Soldier Field', u'PlayingSurface': u'Grass', u'Country': u'USA', u'GeoLong': -87.616699, u'State': u'IL', u'GeoLat': 41.86232}",39.7,1,0,51.5,0,0,2,20,16,8,128,3,5.7,4,7.4,14,1,0,66,0,5,429,0,-7.0,53,51.3,34:42,Grass,49.7,0,1,5,0,2,2,0,7,25,0.0,0,2,2,0,47,0,3,53,0,51,1,4,2,7,47,0,0,0,4,102.0,23,0,21,True,2014,2,40,0
33,1,7.8,WAS,5,2,156,0,1,9.9,2,201410113,0,0,0,66,0,7.0,217,2,75.9,2,1,0,16,17.2,0,5,14,0,0,0,0,0,0,6,0,11,7,11,0,1,0.0,3,293,13,3,2,45.7,1,2,0,239,0,1,376,19,63206,0,6.8,93.5,34,1,2,274,0,0,5,0,0,23,111.9,2,287,0,2,3,2,5,3,1,365,2,1,0,0,2,0,4,0,HOU,0,0,23,26,27,0,1,60.8,4,4,39,0,14,0,3,102,2,0,9,43.5,10.9,2,Reliant Stadium,16,1,1,1,0,0,31,0,0,0,1,1,0,2014-09-07T13:00:00,29,7,0,44,1,2,0,33,137,3,1,30:54,2,8,2,"{u'City': u'Houston', u'StadiumID': 11, u'Capacity': 71054, u'Name': u'Reliant Stadium', u'PlayingSurface': u'Dome', u'Country': u'USA', u'GeoLong': -95.410932, u'State': u'TX', u'GeoLat': 29.684543}",29.8,3,14,36.1,0,0,0,17,42,8,83,0,4.2,4,6.7,14,1,2,75,0,8,443,0,-3.0,50,48.9,29:6,Dome,59.6,5,0,1,0,2,1,0,31,33,0.0,0,1,0,0,56,0,5,78,0,53,1,39,1,2,66,0,0,0,7,129.2,6,33,39,True,2014,1,16,0
26,0,8.8,TEN,8,1,193,0,0,13.1,1,201410116,0,0,0,66,4,6.4,306,0,64.8,1,0,0,14,11.2,2,28,4,14,6,0,0,0,10,10,0,4,7,15,0,1,59.6,8,362,21,7,7,51.3,4,4,0,212,3,0,292,17,63203,0,5.1,79.6,26,2,2,256,0,0,28,0,0,36,129.5,4,289,0,1,3,1,1,4,0,254,0,1,0,0,0,0,4,1,KC,2,0,28,41,45,0,0,50.8,5,3,11,0,3,0,7,82,0,0,13,44.5,6.1,1,Arrowhead Stadium,9,1,1,3,1,0,27,0,3,2,1,0,2,2014-09-07T13:00:00,0,5,1,39,3,2,0,68,79,4,3,37:44,8,14,0,"{u'City': u'Kansas City', u'StadiumID': 15, u'Capacity': 76416, u'Name': u'Arrowhead Stadium', u'PlayingSurface': u'Grass', u'Country': u'USA', u'GeoLong': -94.483864, u'State': u'MO', u'GeoLat': 39.049002}",52.3,1,35,51.1,0,0,3,10,0,5,131,4,4.7,3,5.2,19,0,0,89,0,1,483,0,-3.0,41,60.5,22:16,Grass,9.9,0,0,4,0,1,4,0,27,38,0.0,0,2,1,0,68,0,4,68,0,29,0,56,2,7,26,0,0,0,3,50.5,26,56,20,True,2014,1,22,0
35,1,4.8,NE,0,3,106,0,0,9.3,3,201410119,0,0,0,84,2,4.7,215,3,67.0,2,4,0,15,11.2,2,10,9,0,0,0,10,0,0,10,0,7,7,2,0,2,0.0,5,287,14,3,4,50.7,1,3,0,201,1,2,429,29,63204,2,5.2,61.8,34,2,7,101,0,0,10,0,0,53,81.1,2,269,0,2,4,3,13,4,1,119,2,2,0,0,2,1,3,0,MIA,2,0,23,38,23,0,0,59.6,2,9,17,7,3,13,10,106,2,0,11,46.5,6.3,1,Sun Life Stadium,7,1,1,3,2,0,27,0,1,1,2,0,0,2014-09-07T13:00:00,15,2,3,66,3,5,0,89,227,4,3,29:33,5,10,1,"{u'City': u'Miami Gardens', u'StadiumID': 2, u'Capacity': 76100, u'Name': u'Sun Life Stadium', u'PlayingSurface': u'Grass', u'Country': u'USA', u'GeoLong': -80.238781, u'State': u'FL', u'GeoLat': 25.95774}",35.1,3,19,36.0,0,0,1,33,17,8,119,2,6.0,8,6.1,20,2,2,95,0,8,375,0,4.0,57,48.0,30:27,Grass,64.2,0,0,2,0,3,1,0,27,34,59.6,0,4,3,0,53,0,3,72,0,31,2,26,2,4,91,0,0,0,4,94.0,20,28,45,True,2014,4,21,0
45,0,5.0,OAK,14,3,29,0,0,7.9,1,201410124,0,0,0,77,0,3.8,436,2,94.6,1,0,0,14,9.9,2,36,10,2,7,0,7,0,0,0,0,32,10,3,0,0,0.0,3,478,8,7,2,46.3,2,5,0,226,1,2,479,23,63205,0,2.0,74.6,23,2,4,231,0,0,36,0,1,33,110.1,1,158,0,0,1,2,11,2,0,263,0,1,0,0,0,1,2,0,NYJ,2,0,13,34,17,0,0,52.7,1,5,10,3,7,3,6,90,0,0,10,41.0,7.9,2,MetLife Stadium,3,1,1,2,0,0,21,0,1,2,1,0,0,2014-09-07T13:00:00,8,5,1,38,2,2,0,77,252,2,2,25:10,3,4,0,"{u'City': u'East Rutherford', u'StadiumID': 3, u'Capacity': 82500, u'Name': u'MetLife Stadium', u'PlayingSurface': u'Artificial', u'Country': u'USA', u'GeoLong': -74.074444, u'State': u'NJ', u'GeoLat': 40.813611}",29.8,1,14,48.6,0,0,2,19,8,2,23,0,7.4,4,7.4,14,1,0,58,0,5,188,0,-6.5,60,53.2,34:50,Artificial,49.7,0,0,0,0,1,2,0,21,52,0.0,0,2,1,0,41,0,4,56,0,125,1,17,1,2,79,0,0,0,13,108.7,14,17,40,True,2014,2,27,0
21,0,6.7,JAX,10,2,76,0,0,12.0,4,201410126,0,0,20,97,1,5.1,369,2,71.6,3,1,0,22,12.2,2,56,8,0,0,0,14,0,0,3,0,9,9,18,0,0,119.3,2,443,16,13,1,40.2,5,4,0,328,1,2,501,28,63210,0,3.1,66.6,28,2,2,240,0,0,56,0,0,51,104.4,1,288,0,0,3,4,8,3,0,274,1,2,0,0,1,1,4,1,PHI,2,0,21,53,29,0,0,45.7,4,8,33,0,0,14,20,89,1,0,16,48.5,7.3,2,Lincoln Financial Field,4,1,1,3,0,1,28,0,1,2,1,0,1,2014-09-07T13:00:00,15,7,1,51,3,5,0,28,172,3,1,29:14,4,8,1,"{u'City': u'Philadelphia', u'StadiumID': 18, u'Capacity': 68532, u'Name': u'Lincoln Financial Field', u'PlayingSurface': u'Grass', u'Country': u'USA', u'GeoLong': -75.167469, u'State': u'PA', u'GeoLat': 39.900771}",17.1,1,26,46.3,0,0,2,34,33,2,65,3,5.4,8,6.1,16,2,1,84,0,9,365,0,-10.0,64,55.5,30:46,Grass,50.2,0,0,3,0,4,5,0,28,28,0.0,0,2,0,0,54,0,7,60,0,59,2,94,0,4,42,0,1,0,7,99.1,17,73,38,True,2014,2,32,0
33,2,7.9,CLE,7,4,218,0,0,12.9,3,201410128,0,0,0,79,2,7.3,295,1,81.8,1,0,0,14,18.0,3,32,26,0,10,0,3,0,14,0,0,13,8,8,0,2,119.3,2,374,13,7,2,48.1,4,5,0,433,1,0,584,28,63201,0,7.3,73.1,22,3,3,288,0,0,32,0,0,57,109.3,5,245,0,2,2,3,7,3,0,312,0,1,0,0,0,2,3,1,PIT,3,0,27,41,35,0,0,52.1,4,5,0,10,17,0,3,84,0,0,19,41.5,12.4,3,Heinz Field,5,1,1,1,0,0,28,0,1,1,0,0,1,2014-09-07T13:00:00,0,7,1,36,1,1,0,34,151,3,2,27:33,7,9,0,"{u'City': u'Pittsburgh', u'StadiumID': 8, u'Capacity': 65050, u'Name': u'Heinz Field', u'PlayingSurface': u'Grass', u'Country': u'USA', u'GeoLong': -80.015707, u'State': u'PA', u'GeoLat': 40.446751}",21.7,0,42,42.2,0,0,1,30,0,10,65,2,5.4,5,8.7,13,0,0,76,0,4,464,0,-5.5,57,53.6,32:27,Grass,39.7,0,0,4,0,3,4,0,28,20,0.0,0,3,1,0,48,0,9,65,0,114,0,54,3,7,101,0,0,0,13,119.4,27,54,33,True,2014,3,28,0
34,1,7.6,MIN,0,2,221,0,0,11.2,0,201410132,0,0,0,75,2,7.4,254,4,79.6,1,0,0,16,12.2,4,32,4,96,14,0,3,0,7,10,0,2,5,30,0,1,0.0,3,282,11,8,4,54.3,5,4,0,293,2,1,379,17,63209,0,7.4,81.1,20,4,1,325,0,0,32,0,0,40,133.7,2,190,0,1,1,0,4,1,0,332,0,0,0,0,0,0,5,0,STL,4,0,21,42,35,0,0,55.5,9,3,81,0,0,3,3,83,0,0,11,43.5,8.1,2,Edward Jones Dome,4,1,1,2,0,0,11,0,2,2,0,0,0,2014-09-07T13:00:00,7,7,0,29,2,1,0,31,85,1,1,28:17,8,8,0,"{u'City': u'St. Louis', u'StadiumID': 30, u'Capacity': 66000, u'Name': u'Edward Jones Dome', u'PlayingSurface': u'Dome', u'Country': u'USA', u'GeoLong': -90.18, u'State': u'MO', u'GeoLat': 38.63}",32.6,1,22,50.8,0,0,2,6,7,7,71,2,3.9,3,6.0,13,0,0,66,0,4,412,0,-2.5,58,56.5,31:43,Dome,34.1,0,0,7,0,0,5,0,11,31,0.0,0,3,0,0,48,0,5,59,1,144,0,11,2,8,57,0,0,0,15,75.1,34,28,26,True,2014,2,28,0
0,1,9.9,SF,7,0,147,0,0,14.3,2,201410109,0,0,0,75,0,7.0,218,3,74.2,1,0,0,10,13.2,4,31,16,57,0,0,21,0,0,7,0,10,4,17,0,2,119.3,8,218,13,4,8,54.9,3,3,0,304,3,1,455,31,63211,0,4.9,83.0,19,4,4,109,0,0,31,41,0,45,147.7,3,229,0,2,4,2,9,1,0,125,0,1,0,0,0,1,2,1,DAL,4,0,22,44,35,0,0,62.6,4,4,114,3,0,7,7,101,0,0,16,49.0,8.2,2,AT&T Stadium,3,1,1,4,1,0,10,0,3,2,0,0,1,2014-09-07T16:25:00,15,2,2,27,4,3,1,69,151,1,2,28:36,5,13,0,"{u'City': u'Arlington', u'StadiumID': 17, u'Capacity': 80000, u'Name': u'AT&T Stadium', u'PlayingSurface': u'Dome', u'Country': u'USA', u'GeoLong': -97.092778, u'State': u'TX', u'GeoLat': 32.747778}",69.6,0,0,54.6,0,0,4,17,15,7,95,1,6.6,3,7.3,14,1,0,64,0,5,376,0,3.5,50,54.6,31:24,Dome,66.3,0,0,3,0,2,3,0,10,35,0.0,0,1,2,0,40,0,2,69,0,85,1,0,2,5,0,0,0,0,11,69.0,28,0,27,True,2014,1,27,0
0,0,7.8,CAR,7,0,134,0,0,11.0,2,201410133,0,0,0,65,2,5.8,269,3,75.0,3,1,0,14,8.8,2,25,22,4,10,0,0,0,0,10,0,8,7,24,0,1,0.0,7,336,16,4,7,43.9,3,0,0,193,2,2,314,20,63212,1,4.1,84.2,28,2,2,219,0,0,25,3,0,34,128.4,3,263,0,1,2,2,5,1,0,262,0,2,0,0,0,0,4,0,TB,2,0,22,41,39,0,0,52.5,8,3,51,0,0,0,14,104,0,0,11,38.5,5.5,0,Raymond James Stadium,4,1,1,3,1,0,10,0,2,2,0,0,0,2014-09-07T16:25:00,27,5,1,40,3,3,0,62,121,1,2,35:12,4,7,0,"{u'City': u'Tampa Bay', u'StadiumID': 24, u'Capacity': 65890, u'Name': u'Raymond James Stadium', u'PlayingSurface': u'Grass', u'Country': u'USA', u'GeoLong': -82.50335, u'State': u'FL', u'GeoLat': 27.975967}",47.7,1,39,45.0,0,0,3,14,42,5,65,3,7.2,3,5.7,17,1,0,81,0,7,398,0,-4.5,47,56.1,24:48,Grass,59.6,0,0,2,0,2,3,0,10,32,119.3,0,0,2,0,65,0,7,34,0,17,1,66,1,4,0,0,0,0,3,82.3,20,66,20,True,2014,0,26,0
0,1,8.0,IND,7,0,64,0,0,12.0,4,201410110,0,0,3,82,1,6.9,208,2,72.9,5,4,0,16,14.1,3,11,14,0,14,0,0,20,3,7,0,14,4,13,0,2,0.0,4,237,23,2,7,50.1,1,15,0,308,0,2,430,28,63213,2,4.7,78.7,41,3,4,250,0,0,11,0,0,55,97.6,4,422,0,4,3,4,9,3,0,279,0,3,0,0,2,1,3,0,DEN,3,2,28,42,16,0,2,55.8,3,7,28,3,21,0,7,89,2,0,15,53.5,8.6,2,Sports Authority Field at Mile High,7,1,1,0,3,0,19,0,0,2,1,0,0,2014-09-07T20:30:00,11,5,4,63,0,7,0,0,121,3,0,27:36,5,10,0,"{u'City': u'Denver', u'StadiumID': 13, u'Capacity': 76125, u'Name': u'Sports Authority Field at Mile High', u'PlayingSurface': u'Grass', u'Country': u'USA', u'GeoLong': -105.020097, u'State': u'CO', u'GeoLat': 39.743936}",36.7,1,4,52.3,0,0,0,31,28,2,53,1,3.8,7,6.2,15,0,0,83,0,8,486,0,-8.0,48,59.4,32:24,Grass,59.6,0,2,4,0,4,1,0,19,0,59.6,0,1,3,0,51,0,5,48,0,83,0,28,2,4,0,0,0,0,8,132.1,24,4,38,True,2014,1,26,0
16,1,5.2,NYG,0,1,63,0,0,9.5,3,201410111,0,0,0,75,0,4.2,226,1,82.1,2,3,0,17,18.5,2,5,9,0,7,0,0,36,0,7,0,23,5,21,0,2,0.0,3,239,9,4,4,47.1,1,7,0,406,0,1,497,23,63214,2,2.9,65.0,21,2,5,94,0,0,5,0,1,49,60.3,2,171,0,2,1,4,5,2,0,130,0,2,0,0,2,2,3,0,DET,2,2,19,38,26,0,2,65.0,1,8,35,14,0,13,8,81,2,0,16,45.5,12.8,4,Ford Field,10,1,1,0,2,0,21,0,0,1,0,0,0,2014-09-08T19:10:00,21,2,3,39,0,7,0,0,90,2,0,23:56,3,4,0,"{u'City': u'Detroit', u'StadiumID': 21, u'Capacity': 65000, u'Name': u'Ford Field', u'PlayingSurface': u'Dome', u'Country': u'USA', u'GeoLong': -83.045777, u'State': u'MI', u'GeoLat': 42.340021}",27.6,0,7,45.3,0,0,0,35,35,4,29,0,3.0,7,7.9,15,0,0,68,0,11,235,0,-6.0,44,48.0,36:4,Dome,79.6,0,2,3,1,3,1,0,22,0,79.6,0,3,3,0,42,0,3,83,0,101,0,50,2,3,16,0,0,0,9,148.7,14,13,35,True,2014,2,26,0
0,1,7.9,SD,0,0,62,0,0,13.5,0,201410101,0,0,0,77,1,5.7,257,2,77.4,2,1,0,15,14.6,2,11,4,0,0,0,0,14,14,3,0,9,7,29,0,1,0.0,7,281,10,2,4,30.8,2,5,0,350,0,2,480,26,63215,0,2.6,69.6,25,2,3,153,1,0,11,0,1,35,90.6,2,283,0,1,4,2,4,0,0,260,0,2,0,0,1,0,0,0,ARI,2,1,17,44,28,0,0,52.0,4,4,3,0,6,0,12,83,1,0,16,46.5,9.4,1,University of Phoenix Stadium,4,1,1,2,1,0,0,0,0,1,0,0,0,2014-09-08T22:20:00,14,5,1,42,2,4,0,58,130,0,3,28:11,4,7,0,"{u'City': u'Glendale', u'StadiumID': 29, u'Capacity': 63400, u'Name': u'University of Phoenix Stadium', u'PlayingSurface': u'Dome', u'Country': u'USA', u'GeoLong': -112.263036, u'State': u'AZ', u'GeoLat': 33.527558}",47.7,1,0,42.9,0,0,1,18,20,5,56,1,5.0,4,7.4,17,2,0,71,1,7,345,0,-3.0,54,46.9,31:49,Dome,55.1,0,1,1,0,0,2,0,0,25,0.0,0,2,2,1,47,0,9,59,0,27,2,14,1,4,0,0,0,0,5,128.0,17,0,31,True,2014,2,28,0
